Step 14 | Loss: 1.08 | Accuracy: 47.07%
Step 14 | Loss: 1.09 | Accuracy: 43.36%
Step 14 | Loss: 1.08 | Accuracy: 46.68%
Step 14 | Loss: 1.08 | Accuracy: 45.90%
Step 14 | Loss: 1.08 | Accuracy: 43.95%
Step 14 | Loss: 1.07 | Accuracy: 50.00%
Step 14 | Loss: 1.09 | Accuracy: 46.48%
Step 14 | Loss: 1.10 | Accuracy: 45.51%
Step 14 | Loss: 1.10 | Accuracy: 39.65%
Step 14 | Loss: 1.08 | Accuracy: 49.80%
Step 14 | Loss: 1.09 | Accuracy: 44.73%
Step 14 | Loss: 1.08 | Accuracy: 44.53%
Step 14 | Loss: 1.08 | Accuracy: 46.09%
Step 15 | Loss: 1.08 | Accuracy: 46.48%
Step 15 | Loss: 1.08 | Accuracy: 46.09%
Step 15 | Loss: 1.08 | Accuracy: 41.80%
Step 15 | Loss: 1.09 | Accuracy: 43.55%
Step 15 | Loss: 1.08 | Accuracy: 45.51%
Step 15 | Loss: 1.08 | Accuracy: 48.44%
Step 15 | Loss: 1.08 | Accuracy: 45.70%
Step 15 | Loss: 1.08 | Accuracy: 46.68%
Step 15 | Loss: 1.09 | Accuracy: 43.95%
Step 15 | Loss: 1.08 | Accuracy: 48.05%
Step 15 | Loss: 1.09 | Accuracy: 48.63%
Step 15 | Loss: 1.08 | Accuracy: 43.16%
Step 15 | Loss: 1.09 | Accuracy: 42.77%
Step 15 | Loss: 1.08 | Accuracy: 44.92%
Step 15 | Loss: 1.10 | Accuracy: 41.41%
Step 15 | Loss: 1.09 | Accuracy: 47.27%
Step 16 | Loss: 1.08 | Accuracy: 44.34%
Step 16 | Loss: 1.08 | Accuracy: 46.68%
Step 16 | Loss: 1.08 | Accuracy: 49.02%
Step 16 | Loss: 1.09 | Accuracy: 47.66%
Step 16 | Loss: 1.08 | Accuracy: 43.16%
Step 16 | Loss: 1.08 | Accuracy: 50.98%
Step 16 | Loss: 1.08 | Accuracy: 47.46%
Step 16 | Loss: 1.08 | Accuracy: 47.07%
Step 16 | Loss: 1.09 | Accuracy: 44.53%
Step 16 | Loss: 1.08 | Accuracy: 45.12%
Step 16 | Loss: 1.08 | Accuracy: 44.73%
Step 16 | Loss: 1.09 | Accuracy: 39.65%
Step 16 | Loss: 1.08 | Accuracy: 45.51%
Step 16 | Loss: 1.08 | Accuracy: 46.68%
Step 16 | Loss: 1.08 | Accuracy: 49.22%
Step 16 | Loss: 1.10 | Accuracy: 42.97%
Step 17 | Loss: 1.09 | Accuracy: 48.44%
Step 17 | Loss: 1.08 | Accuracy: 41.02%
Step 17 | Loss: 1.07 | Accuracy: 49.41%
Step 17 | Loss: 1.09 | Accuracy: 44.73%
Step 17 | Loss: 1.10 | Accuracy: 46.09%
Step 17 | Loss: 1.08 | Accuracy: 46.48%
Step 17 | Loss: 1.09 | Accuracy: 43.36%
Step 17 | Loss: 1.09 | Accuracy: 39.06%
Step 17 | Loss: 1.08 | Accuracy: 42.97%
Step 17 | Loss: 1.09 | Accuracy: 43.36%
Step 17 | Loss: 1.08 | Accuracy: 46.48%
Step 17 | Loss: 1.09 | Accuracy: 41.41%
Step 17 | Loss: 1.07 | Accuracy: 46.48%
Step 17 | Loss: 1.09 | Accuracy: 42.77%
Step 17 | Loss: 1.08 | Accuracy: 47.27%
Step 17 | Loss: 1.08 | Accuracy: 43.16%
Step 18 | Loss: 1.09 | Accuracy: 41.60%
Step 18 | Loss: 1.09 | Accuracy: 42.97%
Step 18 | Loss: 1.09 | Accuracy: 43.95%
Step 18 | Loss: 1.11 | Accuracy: 46.68%
Step 18 | Loss: 1.10 | Accuracy: 46.68%
Step 18 | Loss: 1.07 | Accuracy: 50.59%
Step 18 | Loss: 1.10 | Accuracy: 44.92%
Step 18 | Loss: 1.09 | Accuracy: 48.83%
Step 18 | Loss: 1.09 | Accuracy: 43.16%
Step 18 | Loss: 1.09 | Accuracy: 44.73%
Step 18 | Loss: 1.08 | Accuracy: 44.14%
Step 18 | Loss: 1.08 | Accuracy: 43.36%
